bench,best_fixed_mode,best_fixed_cycles,adaptive_cycles,adaptive_gap_to_best_fixed_pct,best_fixed_energy,adaptive_energy,adaptive_energy_gap_to_best_fixed_pct,adaptive_safety_faults,adaptive_timed_out
arithmetic_heavy,fixed_hazard,29,30,-3.45,173,176,-1.73,0,0
branch_heavy,fixed_branch,105,114,-8.57,609,633,-3.94,0,0
coremark_toy,fixed_hazard,150,164,-9.33,927,957,-3.24,0,0
dhrystone_toy,fixed_branch,124,143,-15.32,798,840,-5.26,0,0
dsp_fir_codegen,fixed_hazard,168,199,-18.45,1046,1092,-4.40,0,0
load_use_heavy,fixed_hazard,169,178,-5.33,1017,1039,-2.16,0,0
memory_heavy,fixed_memory,147,205,-39.46,839,1049,-25.03,0,0
mixed_control,fixed_memory,105,129,-22.86,617,704,-14.10,0,0
pid_control_codegen,fixed_memory,178,198,-11.24,1080,1147,-6.20,0,0
tiny_fir,fixed_memory,127,164,-29.13,739,866,-17.19,0,0
