bench,best_fixed_mode,best_fixed_cycles,adaptive_cycles,adaptive_gap_to_best_fixed_pct,best_fixed_energy,adaptive_energy,adaptive_energy_gap_to_best_fixed_pct,adaptive_safety_faults,adaptive_timed_out
arithmetic_heavy,fixed_hazard,29,30,-3.45,173,176,-1.73,0,0
branch_heavy,fixed_branch,105,122,-16.19,609,655,-7.55,0,0
coremark_toy,fixed_hazard,150,168,-12.00,927,965,-4.10,0,0
dhrystone_toy,fixed_branch,124,133,-7.26,798,820,-2.76,0,0
dsp_fir_codegen,fixed_hazard,168,188,-11.90,1046,1074,-2.68,0,0
load_use_heavy,fixed_hazard,169,186,-10.06,1017,1063,-4.52,0,0
long_fir_stress,fixed_memory,778,845,-8.61,4656,4891,-5.05,0,0
memory_heavy,fixed_memory,147,197,-34.01,839,1071,-27.65,0,0
mixed_control,fixed_memory,105,122,-16.19,617,693,-12.32,0,0
pid_control_codegen,fixed_memory,178,193,-8.43,1080,1133,-4.91,0,0
pid_phase_stress,fixed_memory,611,664,-8.67,3775,3928,-4.05,0,0
random_mem_latency_stress,fixed_memory,189,214,-13.23,1109,1201,-8.30,0,0
tiny_fir,fixed_memory,127,153,-20.47,739,833,-12.72,0,0
