bench,normal_cycles,adaptive_cycles,cycle_reduction_pct,normal_ipc,adaptive_ipc,ipc_improvement_pct,normal_energy,adaptive_energy,energy_reduction_pct,adaptive_reconfigs,adaptive_reconfig_penalty
arithmetic_heavy,30,30,0.00,0.7333,0.7333,0.00,176,176,0.00,0,0
branch_heavy,128,114,10.94,0.5781,0.6491,12.28,678,633,6.64,1,2
coremark_toy,162,162,0.00,0.6975,0.6975,0.00,957,957,0.00,0,0
dhrystone_toy,133,133,0.00,0.7970,0.7970,0.00,825,825,0.00,0,0
dsp_fir_codegen,192,194,-1.04,0.6510,0.6443,-1.03,1106,1102,0.36,2,8
load_use_heavy,205,178,13.17,0.6244,0.7191,15.17,1125,1039,7.64,1,4
long_fir_stress,876,792,9.59,0.6632,0.7336,10.62,5098,4709,7.63,1,4
memory_heavy,231,162,29.87,0.4329,0.6173,42.60,1231,901,26.81,1,3
mixed_control,131,127,3.05,0.5802,0.5984,3.14,747,730,2.28,1,4
pid_control_codegen,192,188,2.08,0.7135,0.7287,2.13,1144,1127,1.49,1,4
pid_phase_stress,653,620,5.05,0.7443,0.7839,5.32,3965,3861,2.62,1,4
random_mem_latency_stress,215,204,5.12,0.6326,0.6667,5.39,1227,1165,5.05,1,4
tiny_fir,159,152,4.40,0.5660,0.5921,4.61,883,830,6.00,2,10
