bench,normal_cycles,adaptive_cycles,cycle_reduction_pct,normal_ipc,adaptive_ipc,ipc_improvement_pct,normal_energy,adaptive_energy,energy_reduction_pct,adaptive_reconfigs,adaptive_reconfig_penalty
arithmetic_heavy,30,30,0.00,0.7333,0.7333,0.00,176,176,0.00,0,0
branch_heavy,128,119,7.03,0.5781,0.6218,7.56,678,646,4.72,1,4
coremark_toy,162,162,0.00,0.6975,0.6975,0.00,957,957,0.00,0,0
dhrystone_toy,133,133,0.00,0.7970,0.7970,0.00,825,825,0.00,0,0
dsp_fir_codegen,192,193,-0.52,0.6510,0.6477,-0.51,1106,1101,0.45,2,8
load_use_heavy,205,183,10.73,0.6244,0.6995,12.03,1125,1054,6.31,1,4
memory_heavy,231,197,14.72,0.4329,0.5076,17.26,1231,1040,15.52,3,13
mixed_control,131,131,0.00,0.5802,0.5802,0.00,747,725,2.95,2,10
pid_control_codegen,192,201,-4.69,0.7135,0.6816,-4.47,1144,1154,-0.87,3,14
tiny_fir,159,159,0.00,0.5660,0.5660,0.00,883,878,0.57,1,5
