bench,best_fixed_mode,best_fixed_cycles,adaptive_cycles,adaptive_gap_to_best_fixed_pct,best_fixed_energy,adaptive_energy,adaptive_energy_gap_to_best_fixed_pct,adaptive_safety_faults,adaptive_timed_out
arithmetic_heavy,fixed_hazard,29,30,-3.45,173,176,-1.73,0,0
branch_heavy,fixed_branch,105,114,-8.57,609,633,-3.94,0,0
coremark_toy,fixed_hazard,150,158,-5.33,927,946,-2.05,0,0
dhrystone_toy,fixed_branch,124,131,-5.65,798,814,-2.01,0,0
dsp_fir_codegen,fixed_hazard,168,199,-18.45,1046,1092,-4.40,0,0
load_use_heavy,fixed_hazard,169,178,-5.33,1017,1039,-2.16,0,0
long_fir_stress,fixed_memory,778,935,-20.18,4656,5177,-11.19,0,0
memory_heavy,fixed_memory,147,190,-29.25,839,1006,-19.90,0,0
mixed_control,fixed_memory,105,124,-18.10,617,690,-11.83,0,0
pid_control_codegen,fixed_memory,178,190,-6.74,1080,1122,-3.89,0,0
pid_phase_stress,fixed_memory,611,663,-8.51,3775,3918,-3.79,0,0
random_mem_latency_stress,fixed_memory,189,229,-21.16,1109,1252,-12.89,0,0
tiny_fir,fixed_memory,127,159,-25.20,739,845,-14.34,0,0
