policy,policy_id,target,clock_constraint_mhz,achieved_frequency_mhz,trellis_comb,trellis_ff,block_ram,power,failures
baseline-static-sequential,0,LFE5U-85F-6BG756C,25.0,31.116779327392578,8308,2016,0,unavailable,0
adaptive,2,LFE5U-85F-6BG756C,25.0,25.320302963256836,8858,2116,0,unavailable,0
