bench,best_fixed_mode,best_fixed_cycles,adaptive_cycles,adaptive_gap_to_best_fixed_pct,best_fixed_energy,adaptive_energy,adaptive_energy_gap_to_best_fixed_pct,adaptive_safety_faults,adaptive_timed_out
arithmetic_heavy,fixed_hazard,29,30,-3.45,173,176,-1.73,0,0
branch_heavy,fixed_branch,105,114,-8.57,609,633,-3.94,0,0
coremark_toy,fixed_hazard,150,157,-4.67,927,943,-1.73,0,0
dhrystone_toy,fixed_branch,124,133,-7.26,798,825,-3.38,0,0
dsp_fir_codegen,fixed_hazard,168,177,-5.36,1046,1064,-1.72,0,0
load_use_heavy,fixed_hazard,169,178,-5.33,1017,1039,-2.16,0,0
long_fir_stress,fixed_memory,778,793,-1.93,4656,4712,-1.20,0,0
memory_heavy,fixed_memory,147,162,-10.20,839,895,-6.67,0,0
mixed_control,fixed_memory,105,114,-8.57,617,653,-5.83,0,0
pid_control_codegen,fixed_memory,178,187,-5.06,1080,1112,-2.96,0,0
pid_phase_stress,fixed_memory,611,620,-1.47,3775,3807,-0.85,0,0
random_mem_latency_stress,fixed_memory,189,216,-14.29,1109,1207,-8.84,0,0
tiny_fir,fixed_memory,127,152,-19.69,739,821,-11.10,0,0
