bench,best_fixed_mode,best_fixed_cycles,adaptive_cycles,adaptive_gap_to_best_fixed_pct,best_fixed_energy,adaptive_energy,adaptive_energy_gap_to_best_fixed_pct,adaptive_safety_faults,adaptive_timed_out
arithmetic_heavy,fixed_hazard,29,30,-3.45,173,176,-1.73,0,0
branch_heavy,fixed_branch,105,119,-13.33,609,646,-6.08,0,0
coremark_toy,fixed_hazard,150,173,-15.33,927,977,-5.39,0,0
dhrystone_toy,fixed_branch,124,137,-10.48,798,828,-3.76,0,0
dsp_fir_codegen,fixed_hazard,168,183,-8.93,1046,1061,-1.43,0,0
load_use_heavy,fixed_hazard,169,183,-8.28,1017,1054,-3.64,0,0
memory_heavy,fixed_memory,147,194,-31.97,839,1041,-24.08,0,0
mixed_control,fixed_memory,105,128,-21.90,617,700,-13.45,0,0
pid_control_codegen,fixed_memory,178,196,-10.11,1080,1137,-5.28,0,0
tiny_fir,fixed_memory,127,149,-17.32,739,825,-11.64,0,0
