bench,normal_cycles,adaptive_cycles,cycle_reduction_pct,normal_ipc,adaptive_ipc,ipc_improvement_pct,normal_energy,adaptive_energy,energy_reduction_pct,adaptive_reconfigs,adaptive_reconfig_penalty
arithmetic_heavy,30,30,0.00,0.7333,0.7333,0.00,176,176,0.00,0,0
branch_heavy,128,119,7.03,0.5781,0.6218,7.56,678,646,4.72,1,4
coremark_toy,162,159,1.85,0.6975,0.7107,1.89,957,947,1.04,1,4
dhrystone_toy,133,132,0.75,0.7970,0.8030,0.75,825,817,0.97,1,4
dsp_fir_codegen,192,183,4.69,0.6510,0.6831,4.93,1106,1061,4.07,2,8
load_use_heavy,205,183,10.73,0.6244,0.6995,12.03,1125,1054,6.31,1,4
long_fir_stress,876,851,2.85,0.6632,0.6827,2.94,5098,4909,3.71,14,58
memory_heavy,231,194,16.02,0.4329,0.5155,19.08,1231,1041,15.43,3,11
mixed_control,131,128,2.29,0.5802,0.5938,2.34,747,700,6.29,2,10
pid_control_codegen,192,191,0.52,0.7135,0.7173,0.53,1144,1127,1.49,2,6
pid_phase_stress,653,659,-0.92,0.7443,0.7375,-0.91,3965,3919,1.16,8,32
random_mem_latency_stress,215,215,0.00,0.6326,0.6326,0.00,1227,1204,1.87,3,12
tiny_fir,159,149,6.29,0.5660,0.6040,6.71,883,825,6.57,2,9
